"","sample","GPCR signaling (GO_0007186)","serotonin GPCR signaling (GO_0098664)","GPCR signaling, coupled to cyclic nucleotide second messenger (GO_0007187)","neuropeptide signaling (GO_0007218)","adenosine GPCR signaling (GO_0001973)","AC-inhibiting GPCR signaling (GO_0007193)","PLC-activating GPCR signaling (GO_0007200)","AC-activating GPCR signaling (GO_0007189)","amylin GPCR signaling (GO_0097647)","AC-modulating GPCR signaling (GO_0007188)","AC-inhibiting serotonin GPCR signaling (GO_0007198)","angiotensin-activated signaling (GO_0038166)","regulation of GPCR signaling (GO_0008277)","AC-activating dopamine GPCR signaling (GO_0007191)","somatostatin signaling (GO_0038170)","sphingosine-1-phosphate GPCR signaling (GO_0003376)","thrombin-activated GPCR signaling (GO_0070493)","neg. reg. of GPCR signaling (GO_0045744)","leukotriene signaling (GO_0061737)","PKC-activating GPCR signaling (GO_0007205)","pos. reg. of GPCR signaling (GO_0045745)","tachykinin GPCR signaling (GO_0007217)","AC-inhibiting acetylcholine GPCR signaling (GO_0007197)","adrenergic GPCR signaling (GO_0071875)","AC-activating adrenergic GPCR signaling (GO_0071880)","NA (GO_0051482)","regulation of rhodopsin mediated signaling (GO_0022400)","acetylcholine GPCR signaling (GO_0007213)","AC-inhibiting glutamate GPCR signaling (GO_0007196)","glutamate GPCR signaling (GO_0007216)","PLC-activating dopamine GPCR signaling (GO_0060158)","endothelin GPCR signaling (GO_0086100)","AC-inhibiting dopamine GPCR signaling (GO_0007195)","neg. reg. of AC-activating GPCR signaling (GO_0106072)","opioid GPCR signaling (GO_0038003)","pos. reg. of mitotic nuclear division (GO_0045840)","pos. reg. of mitotic cell cycle spindle assembly checkpoint (GO_0090267)","pos. reg. of spindle assembly (GO_1905832)","pos. reg. of mitotic metaphase/anaphase transition (GO_0045842)","pos. reg. of maintenance of mitotic sister chromatid cohesion (GO_0034184)","pos. reg. of G1/S transition of mitotic cell cycle (GO_1900087)","pos. reg. of cytokinesis (GO_0032467)","pos. reg. of G0 to G1 transition (GO_0070318)","pos. reg. of G2/M transition of mitotic cell cycle (GO_0010971)","pos. reg. of meiotic nuclear division (GO_0045836)","pos. reg. of nuclear cell cycle DNA replication (GO_0010571)","pos. reg. of cell cycle G1/S phase transition (GO_1902808)","mitotic G2/M transition checkpoint (GO_0044818)","neg. reg. of meiotic nuclear division (GO_0045835)","neg. reg. of centrosome duplication (GO_0010826)","mitotic spindle assembly checkpoint signaling (GO_0007094)","neg. reg. of mitotic nuclear division (GO_0045839)","mitotic intra-S DNA damage checkpoint signaling (GO_0031573)","neg. reg. of G0 to G1 transition (GO_0070317)","DNA damage checkpoint signaling (GO_0000077)","neg. reg. of G1/S transition of mitotic cell cycle (GO_2000134)","regulation of DNA damage checkpoint (GO_2000001)","mitotic G2 DNA damage checkpoint signaling (GO_0007095)","neg. reg. of G2/M transition of mitotic cell cycle (GO_0010972)","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO_0006977)","mitotic DNA replication checkpoint signaling (GO_0033314)","DNA replication checkpoint signaling (GO_0000076)","neg. reg. of cytokinesis (GO_0032466)","neg. reg. of cell cycle G1/S phase transition (GO_1902807)","mitotic G1 DNA damage checkpoint signaling (GO_0031571)","mitotic cell cycle checkpoint signaling (GO_0007093)","neg. reg. of centriole replication (GO_0046600)","regulation of mitotic cell cycle spindle assembly checkpoint (GO_0090266)"
"ACH000008","ACH000008",0.0940090166654412,-0.179402425139898,-0.133192816144493,-0.133272572086843,-0.186284828288696,-0.17292222396523,0.00139032077445109,0.00293732043480347,0.217308905332273,-0.131140150381406,-0.287876764814598,-0.0637206124023306,-0.147438507054932,-0.401804918733623,0.251237130442437,0.253347165392263,-0.0258979607153219,-0.0818262143295345,-0.263451588612709,-0.0378289738902439,0.5249712466874,-0.0345379899176468,-0.475065300503772,-0.51865325792322,0.0347204251043229,-0.0598904007195959,-0.224676724169255,-0.315027673656609,-0.0433132049536145,-0.0815605216628038,0.367247991718458,0.00808974550452628,0.389441890461403,-0.419939059982164,-0.48224173441208,0.237038851583728,0.0549123856434174,0.0885957776522743,0.0632056228082382,-0.484986577905589,0.47359422311758,-0.0514232374846742,0.0623586112877122,-0.453591755551181,-0.125840322557612,0.140577700052989,0.309348481894752,-0.124159549293459,0.28207623707827,0.0132148964980649,-0.0315808203194105,-0.375130251261247,-0.151410280888824,-0.185875887940831,0.0565469167726437,0.00227364949524406,-0.327896382430592,-0.0598347097733679,-0.402858673117644,0.0873498771364767,0.0581292631117784,0.181745118566136,0.135208437012903,0.2743007987869,-0.239907494682058,0.354723996916957,-0.191121971899641,-0.446548147075414
"ACH000014","ACH000014",0.260319212547759,0.0936204031327232,0.0537704973067334,0.163119479339413,0.221127959189319,0.144331864214707,0.209165440296328,0.139372002663461,0.508974286441807,0.0292482681588704,0.0159633142825481,-0.163811199306788,0.106448525199075,-0.107006227454752,0.246524927363335,0.283907400566792,-0.086713823121147,-0.0301245283467086,-0.0272556372234094,0.296940400782506,0.632632429510257,0.3485028515201,-0.227957401348015,-0.181517925446577,0.284926085796405,0.108870216926795,0.244937402685165,-0.0775004048746288,0.442285436643041,0.23568867616203,0.388572440959564,0.395586379213036,0.542639802569117,-0.097867758340062,-0.359568167972438,-0.035554922249105,-0.576966693274434,-0.417694611920967,-0.384259931992142,-0.970331269075756,0.240066170119512,-0.358303064503053,-0.00283675123513738,-0.786855398093418,0.0937254426759345,-0.451501385631732,0.0299355523010435,-0.103384703724689,-0.496446213892984,-0.464830931158248,-0.778392126560479,-0.304684547543163,-0.289071788306639,0.134404450425043,-0.290854196964421,0.0271541242537263,-0.59829596055618,-0.208498369895585,-0.389657288810494,0.448389989839436,-0.696580273180297,-0.636699096027109,-0.339075746271874,0.344324251435874,-0.275756698408993,-0.535663121393332,-0.394479702072727,-0.695206856806829
"ACH000219","ACH000219",-0.0754443941319995,-0.0606791784917626,-0.020698653994857,-0.0748759207103439,0.312570322398651,-0.0413348371200242,-0.0999140990815601,-0.0291939398055682,-0.30121483135235,-0.0229115792367888,-0.221848255650594,-0.265670611215393,-0.109063446856697,-0.273518132446266,0.621654940527682,0.38598569806805,0.0480295762078113,-0.101331692864324,-0.285876786717517,-0.215656011512928,-0.259604085237874,0.465769690963451,-0.199229989813756,-0.102923046848629,-0.100477474819247,-0.0664857699967259,0.535134998753344,-0.0191714624159606,-0.149085486686518,0.0734138740335235,-0.020540430009209,-0.136368720866408,0.035113328153393,-0.806414777127426,-0.111448806020191,-0.0703618120132551,0.812403069686058,-0.125828259050375,0.19716169215706,0.847155701363064,0.0181061723693245,0.195727051074075,0.615565119378041,0.248410197479345,-0.411963151473215,0.144465636877623,0.535212119039513,0.159521280402152,0.0868267965641964,0.8245408608864,0.513703845917535,0.353266277090827,0.0113113051614005,0.315158714757169,0.194039905276413,-0.276760556416233,0.64716741162153,0.513620615643489,-0.312606802699734,-0.0709756029457692,0.665085508310891,0.53584884132733,0.719940261255508,1.05065933374237,0.499547748787674,0.283923321645214,0.0335292306838867,0.444469598651363
"ACH000304","ACH000304",0.129006931938378,0.523400571898663,0.385796106201247,-0.0439532776912915,0.262397447910777,0.364148579693154,0.0237609606470758,0.187881560253698,0.748844238026793,0.429881536265952,-0.108230858122235,-0.33441334046821,0.0759095679759605,-0.622421661064058,-0.310851946270073,0.289256398951401,0.286465439368855,0.00253753085640647,0.087114505661439,0.093294993562343,-0.384074500300485,-0.0476831093603798,0.459430902953604,0.298810297347484,0.417096207031775,0.132464302162205,-0.152471640611711,-0.0179095222221053,-0.269357059251699,-0.128799360027858,-0.0415855773734508,0.279889726125772,-0.00771417835765527,-0.145654054884444,-0.0536323501644801,0.045468964200797,-0.0151424579838593,0.374313618880614,-0.286683058586192,0.440016226339305,0.124989196808685,-0.23151814171732,0.405171327229002,-0.364863057079539,-0.080721829778817,-0.330840101122364,-0.041515751514694,-0.0927875157980987,0.631786839129399,-0.658718245664773,-0.334882928672921,-0.568369020430151,0.0694704447961044,-0.163841721204676,-0.0562605650292534,0.228735209135036,-0.325413958860794,-0.0567670682287147,0.0294525927771674,0.143168030188463,0.00740262520174728,-0.658231481189517,-0.0294663295266749,-0.272048765614553,-0.0836653860549176,-0.167192798449938,0.0677761229263027,-0.275843666415062
"ACH000322","ACH000322",-0.0203377946141291,0.165922253377063,0.0678604140704156,-0.00893745982107459,-0.0518406808164304,0.115517891715911,-0.0262953806058457,0.112110922454863,0.357864118461582,-0.0765358396231552,0.241394311798557,-0.813302351638539,-0.123132176552457,-0.313638156922551,0.160674341426912,0.396063026499587,0.0973769103511998,0.213988730988665,-0.066686502807472,-0.197555894535601,-0.419576677217712,0.543380006939657,0.118852964342552,-0.0744429641481636,0.2853212197062,-0.0457921347870251,-0.549011215867827,0.0880118742590797,-0.230191831381357,-0.101607921020646,-0.375076833386853,-0.144910592892185,0.204674858195545,-0.224332945749124,0.0572628879535805,0.0682066397823153,0.482947451764171,-0.379969617895233,-0.0814907027082176,0.22501643103221,0.154147082793631,0.0827539625335452,0.567747454710966,-0.080991203767158,0.300730628880991,-0.118992754825214,0.15021247296959,-0.189942421105837,-0.0107537796006135,0.785018555153673,0.081477054192194,0.054638266356499,0.0169190324748603,-0.5596027824304,0.0789755188213021,0.0434566595318509,0.217356932785892,-0.029124199006412,-0.283886998544729,0.189759182346579,0.345842331424541,0.214222166427382,-0.067476339173463,0.179360095735215,0.112295730194954,0.150605658546247,0.288797510131234,0.428749477969227
"ACH000348","ACH000348",0.233542029078106,0.310185510503402,0.411264208983166,-0.0657749297103689,0.124930659248139,0.394938878404559,0.602936101953552,0.168818041430551,0.263962280384438,0.409867573879692,1.75817962580675,0.0203464037029343,-0.128302632332897,-0.285139748320303,-0.00989682491121395,0.071140242364998,0.525550424729015,0.167999481561264,0.0466803132221328,0.523122360800241,-0.236770057551395,-0.244877807074472,-0.0525211423545133,-0.01247464840309,0.0392386605302998,0.763317996717543,0.710186954337941,0.066395375072667,-0.655892760575963,-0.364030600638085,1.37243219797911,0.283930209141065,0.472861650360363,0.213503929586132,-0.745408281310529,0.0920414133544882,-0.482924137052035,0.378081421336901,-0.590211607499981,-0.274292402252383,-0.329832232062777,0.0167336049870622,-0.235340092805947,-0.455011164866621,0.142516879106405,-0.464667255877469,-0.371173717949125,-0.200144373703187,-0.0517141846768862,-1.45697580600553,-0.501161886370467,0.268730669049572,0.0447260319651818,0.300486065002064,-0.329434986354312,0.351339018894271,-0.196037607403762,-0.331663079153591,0.34245757068912,-0.483636380410282,-0.922409834725292,-1.22107272630809,-0.443786900227162,-0.356047402518249,-0.366714745779402,-0.420296907310234,-1.09341113134094,-0.441183408582747
"ACH000401","ACH000401",0.0366570830792083,-0.120655379382069,-0.123264909309895,-0.0753862286084764,0.988459976485407,0.19970712522758,-0.0337005328316841,-0.0980458998052905,-0.741751176807649,-0.0016699915219931,-0.409383432465076,-0.231950515004968,-0.0124586170597463,0.61077674967524,0.137122511373121,0.425283554219186,0.106938101597992,-0.314127613062002,-0.127542478797089,-0.0160055444493096,-0.23954063317185,0.229693575565413,-0.420173878222945,0.0584545497569763,0.138569322580756,-0.0150962441087211,-0.0208370883077577,0.33503490693734,-0.0850513441665625,-0.0730700803132472,-0.305011082289078,-0.186459204365452,0.377031074592202,0.0399293723759918,-0.249709782007617,0.0322528341311164,0.56068328348151,0.086034715798044,0.106273286774505,-0.761131140723407,0.083788234400878,0.329274484324723,0.010719500056371,0.414364321113713,-0.259316924345349,0.0211405370538265,-0.197751277977269,-0.262994854214875,0.622611578626991,-0.0734644367932762,0.70012308870158,-0.172555131261867,-0.0742420911330297,-0.405788875806433,0.286157593331053,0.337462195849441,0.288266704971011,-0.110536167905518,0.304408599682957,-0.305390892041168,0.485068736168387,0.0752007625668522,0.463230507568387,-0.165388074429907,0.28351709783707,0.692380198368454,0.0176739941164597,0.371816180137637
"ACH000404","ACH000404",-0.133088184282441,-0.0676718827970372,-0.187750518669479,-0.0346735674989347,-0.145614423284515,-0.329012936187626,-0.0148465667831267,-0.184263444264581,-0.263361314723631,-0.169214206976742,-0.390468232032392,-0.00220572322315319,-0.0427718028503734,-0.0651031660188746,0.541601725934112,-0.246322332768154,-0.0838266664000251,-0.0303742861461003,-0.637789698562003,-0.0582114248323303,0.603144570558201,-0.253351477739981,-0.0908854555149729,-0.309907831747466,-0.0610615318569001,-0.162591658648027,-0.10160779705428,-0.207109793389839,-0.0193406923522869,-0.0319034766110094,0.301256366493268,-0.181428189449209,0.0708173950483517,-0.624995189540104,0.267391024206729,-0.227547981201287,-0.599490491489057,-0.492900203834591,-0.0709107201903144,-0.221967117772966,-0.332168761698662,-0.205131678647267,-0.732860398434578,-0.28067515508875,-0.150529062919923,-0.626513457817547,-0.0895558709422095,0.24542661482921,-0.284043703476909,0.325310625923737,0.0121191586604225,0.0435874033973901,-0.123979181595529,0.025990507060636,-0.142637499270258,-0.194860957856721,-0.195014995425259,-0.275378476211473,-0.37091114534461,-0.0549264413299188,0.148575562563126,-0.281856224335751,-0.0507306720905953,0.0164238252039563,0.0837062799688931,-0.0980538850092186,0.152989682484503,0.018875579126876
"ACH000423","ACH000423",-0.197079357154301,0.279509685342409,-0.0202860824863136,0.115587741535735,-0.6171328802956,-0.00899998311156343,-0.355844264430381,-0.222045644633344,-0.423565100851528,0.236087279026065,-0.334741796247794,-0.0362358946730017,-0.00769196213417719,0.37873018806906,0.874501698925829,-0.326787214336456,-0.527890949442825,0.337621589031359,-0.305610021880696,-0.182409236106345,0.567419658504173,-0.419870687816541,0.77763721952561,0.134917599379278,-0.0171042363122924,-0.192294414186549,-0.120438488031512,0.198001220171055,0.630948768202249,0.627886964798938,0.118134419949141,-0.428402016794417,-0.853871206246951,0.660443749260016,0.600330937091777,-0.331606906410742,0.173474389233798,-0.082052707911175,-0.191643342143311,0.193530496795205,0.170610386718875,-0.0745666139367347,-0.656554895712937,0.183348085289771,0.296416337798388,-0.362920870434977,0.257386997455344,0.359288118734186,-1.66672527600733,0.631674310912238,0.192787011589283,0.134306568880314,0.225361313035566,0.207931366943753,0.505146318774226,-0.146808881317961,0.272654698826347,0.158446769544855,0.115227826454377,0.0491681667431802,0.796691657456924,0.368166456045482,0.598391399879424,-0.0114363897440985,0.00224732033199509,0.36165084881921,0.611467634602054,-0.162625625483192
"ACH000425","ACH000425",-0.0845669348749007,0.202603832829428,-0.0118380657358424,-0.147871030121681,0.266753130973042,-0.297351461139354,-0.133395999607598,-0.0215882082927582,-0.670781533347993,-0.292365789188818,-0.0243008541715256,-0.129597552060453,-0.171980417409422,-0.0259211685756711,-0.151478234226571,0.0975002845555976,0.567196735936752,0.0676594235848661,0.701709213002454,-0.31510685955187,0.107772655009405,-0.605601515648637,0.138332412914817,-0.583122575948351,-0.484668397091406,0.117750876744245,-0.440666054834098,-0.092358303795307,-0.00721490852353717,-0.00379568988551059,-0.108731826561222,-0.539417266231668,-0.45974591324326,-0.0928774975060825,-0.437288201292704,0.0647414478720828,-0.0725096877074881,0.105987849729182,0.102624028663819,0.0270706006331862,-0.226298979607454,-0.434568796956345,-0.0346018748971257,-0.247804315923719,-0.0982372298884275,-0.200570365807861,0.000266456961152227,0.783255679216067,0.114931098022158,0.345133219126434,-0.0495167768585177,0.0792609147220145,0.168938354968635,-0.181341193775701,-0.0747147164110194,-0.710145991305516,-0.730303103752236,-0.109537748344983,-0.0556771896629269,0.0259410495429599,-0.0379367473230619,-0.349244579474821,-0.705029374676043,-0.283402920953282,-0.300963562649898,0.252925500304315,-0.264061647651615,0.331003831988033
"ACH000441","ACH000441",-0.179843918735378,0.123685196402495,-0.245803443373597,-0.0545919225520988,-0.276851294324666,-0.135106671205517,-0.132376262038065,-0.24281117301159,-0.083822327835307,-0.0902791763435181,-0.346482591338849,0.149913811090313,0.00590249697172837,-0.00425267618416199,-0.613685098153679,-0.294857362148395,0.458262939597743,0.400519518712377,0.83513160341275,0.275104044267469,0.0792735709103318,0.74939291452802,-0.337989414694783,-0.0224815856969423,-0.378539098664572,-0.313967891522002,-0.327640439086341,-0.06314258084198,-0.515652849232422,-0.25789626743906,-0.0571134446157532,-0.254872755534941,-0.079039866335553,-0.248825581404053,0.0129485944504395,-0.320801128556693,-0.640652967383598,-0.624881460203965,0.144453750313696,0.328547704066247,-0.0429435409593407,-0.265628019549081,0.258215571759123,-0.214058605683829,-0.242453222726305,0.0510953362192703,-0.119286994502719,0.301310066949556,-0.252304885002012,0.096967012044752,-0.712432142992,-0.107542950286052,-0.341567573821858,2.36222679994409,-0.086892985716988,-0.222655742217948,-0.21606876685366,-0.0663103986757454,-0.0581063897061397,-0.308202057855957,-0.30423178490179,-0.181593087708942,-0.607584597301068,0.307399111198458,0.0464884681925223,-0.521124538014923,0.110361121723811,0.535157413366833
"ACH000465","ACH000465",-0.0158161666071654,-0.442271806415527,-0.251940219541513,0.111325196021255,-0.578883345997443,0.189226889289399,-0.275549577583448,-0.000441252143385018,0.215561754360251,-0.346468517571102,0.722083192375917,1.14211308759782,0.26511276574676,0.267936056465374,-0.227210329200398,-0.138356978994386,0.833944887307602,0.0837733058726249,0.611198377182528,0.119362343437421,-0.00546240372656509,-0.0331228356906033,-0.169947539526753,-0.0829362430078899,-0.545490164357954,-0.267891631822241,0.0879040555959663,0.164714620953367,-0.602881895025299,-0.0713916371124504,0.216483939285464,-0.421182964557298,-1.33388438062015,-0.531453022817216,-0.631477165088166,0.202070437411354,-0.550775859940596,0.116165395404884,0.402476083374106,0.68365052954653,-0.262668587562597,-0.0102030813394412,0.631969115210836,0.299061614907202,0.112258847845066,-0.232937204869654,-0.0641671853895712,0.127020863620865,0.249464086983042,-0.410382237053086,0.290318653654606,0.794333470567666,0.522986198213163,1.11792768265945,0.555091838161587,0.075314319434382,-0.320850609381062,0.404673257557024,0.682905913018335,0.081575719166256,0.30211261836268,0.933398075719422,0.849916407597193,0.588075635454802,0.278511095748617,0.162446690040335,0.437243806837695,0.239860619335567
"ACH000477","ACH000477",0.129424150526496,-0.229186727347551,-0.121680493117477,0.110689097925154,-0.264134721839915,-0.0537264762177565,-0.130002097542006,0.00610777848026666,0.797270877831839,-0.129344495405551,-0.211505469509835,-0.152801210243447,0.0414148726655821,0.214377410787192,-0.0179092023495517,-0.148778252703312,-0.474307331845082,-0.162167382947447,-0.0991597339016475,-0.211272286355834,0.132228442762123,-0.316305273707745,-0.242425581314875,-0.146564973396715,-0.272722307828883,-0.0452698655875124,-0.138225300284465,-0.0452429230851344,0.358058456368724,0.0346850584967749,-0.0843402401211752,0.269584610885881,-0.206138580472908,0.231653989796792,0.0503578227084473,-0.2036016220329,-0.122626883851039,-0.126573281728228,-0.0175514125631083,-0.711006239471015,-0.227103824268107,-0.0438000804047937,0.523979186589688,-0.0178504612578963,0.413213295819691,-0.130083004063438,-0.201627603727413,-0.166113873785175,0.138867033902077,-0.893362298175877,-0.359011611522274,-0.642786914763248,-0.0285104715153399,-0.283046781742843,-0.249194188568863,-0.156068146665983,-0.0125873283857872,-0.235670097437021,-0.474573964561945,-0.0761213482072283,-0.291395944844267,-0.135439640399766,0.0545192325688357,0.283436287524134,0.261958771131773,-0.287954940246377,-0.0331124456908542,-1.20024205674549
"ACH000550","ACH000550",0.107432336558937,0.27645802840714,0.308459193541414,0.132368501561346,0.956591616543811,0.34645909890725,0.381405589233103,0.123539646689908,-0.607077528516511,0.640893414083871,0.563283480840966,-0.00280154104163665,0.0606231593544287,-0.296509424857863,3.6933056515511,0.0164621916316912,-0.0373621939563394,0.075923834907579,0.2836437742085,-0.0121153626153478,-0.203639373117022,0.48519987420227,-0.0294323253356238,0.273616022211127,0.465062055570191,0.200974200010505,0.110606523226629,0.202850138491786,-0.252956552805876,0.0125502947555006,0.746029982146682,0.477736724551016,0.925561537977518,-0.213996841923198,-0.156609382623498,0.0853467964027465,-0.285218898267785,0.391520334003757,-0.346057254024524,0.679717209214938,-0.408461180602392,0.300002032060935,-0.097421145286611,0.274915280726965,0.545396123378198,0.307461408127541,0.693025135861292,0.190411677283381,-0.439811235486517,0.534266629273415,0.458638164957814,0.306583801557019,0.0787210808593155,0.220691586744117,-0.0597846831546198,0.297696016525974,0.171436232126237,0.2186076932774,-0.0395765477918367,-0.175981466784281,0.191134013234753,0.0211714714300442,0.0548853041092812,-0.193483111728471,-0.504866903948287,0.290243579549069,-0.021402780659132,0.854865713836631
"ACH000572","ACH000572",-0.157438744803302,-0.529461856276254,-0.513481554633486,-0.181277334580891,-0.310009493907765,-0.174273854523894,-0.580019649456196,-0.203366710885421,0.360127170798793,-0.192936486759233,-0.460940005573703,0.0761096316830789,-0.294393743231872,0.111339759951799,-0.365299520799682,0.122756661233867,-0.906233182647024,-0.308282739991508,-1.00602756043951,-0.248376685480703,-0.386935116850458,-0.608686802221214,-0.415160393126479,0.0534597909281244,-0.599157774489229,-0.312699148396777,-0.468158710398786,-0.0427808964841439,-0.438775872769866,-0.156629371107008,-0.438731646491183,-0.389122738933848,-1.0088763648741,-0.0769295545246151,-0.0952365786904719,-0.0508757195351682,0.580881289975284,0.797570094840187,0.491782604208685,-0.150547508912166,-0.144677384559701,0.327861722062545,-0.601297546057679,0.212024183447282,-0.514271770295827,1.24562093066371,-0.0586505475146404,0.22683338760214,0.00375564754315776,-0.374373607203564,0.537455198754617,-0.0745762195815291,0.279492521504361,-0.122905711940625,0.305922023566684,-0.232664971357098,0.446385025513597,0.12830948700936,0.141372350814364,0.0147120561867056,0.960017126643066,0.143513782465573,-0.199867348218529,0.233574158615348,0.0470224378423464,0.488064716342143,1.01906209169556,-0.130381663381869
"ACH000579","ACH000579",-0.176875630228518,-0.288123356222677,-0.338715050911007,-0.314152433041505,-0.779154609512418,-0.519210321665669,-0.328624005312816,-0.358698323292991,-0.323063913707096,-0.278218243448184,-0.209516088600379,0.220334884208443,0.0580995781343091,0.103861357195817,-0.0754487396880725,-0.256935157913915,0.165670400734473,0.286108642707074,0.093612913375296,-0.0847229973573779,0.0319308432987085,-0.385783609418244,-0.57034977288055,-0.0658194736515026,-0.298964182739404,-0.0659072666361405,0.0176446372495063,-0.30590880977766,-0.665487764553675,-0.426955084962518,0.357825864757175,-0.20118862977238,-0.0939856067007499,-0.915298441424466,-0.386820248322209,-0.147133491182323,-0.0408127348751249,0.015973342314146,0.658871311278617,-0.42660504181944,-0.0393249747946358,-0.0222806513700155,-0.346871314579361,0.109560785781552,0.787704497839059,0.379573095698607,0.451052962367798,0.424375191507734,-0.307519800884647,0.633036547062657,0.338355994973337,0.27247581302741,0.440795786697788,-0.188583912269108,0.300296363869401,-0.314083557434725,0.805666614965675,0.181723802427169,-0.00983154673578473,0.166278386317785,0.190332164460736,0.489831477646161,0.195383795191121,0.233916860770324,0.363407698342293,0.73006632354653,0.0691587359069591,0.166931747049792
"ACH000580","ACH000580",-0.144271975434521,-0.295851330560628,-0.289421265115108,-0.362731981647442,0.149777303172678,0.0265217450477869,0.0172881256735107,-0.0689997276809709,-0.270007517436484,-0.0392800689361764,-0.347290867222569,-0.598041445997458,-0.0597019298604917,-0.214225844280948,-0.667194322081862,-0.18323953178642,-0.164520583901734,0.263878626823796,-0.378079827399901,-0.0232479129380628,-0.444572930799597,1.03054987698743,-0.108494277994248,-0.0694149429091364,0.199670302091273,-0.480305593294513,-0.217838966786715,0.195469774159423,0.0477062964258107,-0.128593640755078,-0.152700157243438,-0.0785397416471899,-0.232488936868302,0.0627260994997203,-0.468095490131403,0.138337887919358,0.763751970486688,0.28919149246306,-0.0516884270009108,0.665393292914383,0.0624981767240132,0.0832688695026135,0.599828044845366,0.144372223786393,-0.462301257768854,0.170300322354678,0.0062834758778986,-0.765112646599692,0.493295732771572,0.208256285707943,-0.175721424887955,-0.409606128118311,-0.280219315172764,-0.090868634989514,-0.00720251788211203,0.635610089232759,0.0870548173690815,-0.0165591119120761,-0.00664245953450029,0.386914204678465,0.236511618792263,0.390176896339275,0.0193079177011921,-0.624950730189731,0.00278991913679641,-0.677158794940933,0.319518986062153,-0.0616358237075043
"ACH000614","ACH000614",-0.0846041812753194,0.19318640832274,-0.0602401630209372,-0.324699360452055,0.146943100272545,-0.025260655298546,-0.275738969934913,0.0606505049787265,-0.264157323500574,-0.116167117527742,-0.159712077529586,-0.296249128535081,-0.120626717333161,0.54290632215501,-0.281738865359194,-0.223486647830904,-0.276920320329409,-0.053411611600359,-0.759935991571448,0.260114603038279,-0.107601065770493,0.0731436357952628,-0.0400010914120863,0.277860812510286,0.305733164947128,-0.159880734803251,-1.14510912923285,0.198728502579505,0.481782196672212,0.569863032837583,-0.470300399265744,-0.0925880671916029,0.443231356731265,0.217925818394006,-0.625775361613442,-0.39478648841448,-0.479057776795426,-0.167738884521621,-0.171349608233088,0.11148557177522,-0.354470887002808,-0.120892305119377,-0.593866934092972,-0.175363493011641,-0.497795270743107,-0.0920410599975318,-0.689938831160276,0.0921666981348603,-0.591080582582287,-0.128033551246682,-0.516118706385565,-0.545270813259014,0.445589659553665,-0.224989714117158,-0.1898230247652,0.158123606678322,-0.215148234774366,-0.0842131956966037,0.14943518067996,0.0472010552117303,-1.03342713203943,-0.00374450307631017,-0.687191656137725,0.0162032058923298,-0.106196062107319,-0.578900374320553,0.103504095037036,0.147623991591397
